regulated.gene,regulator.gene,regulator.effect
1,481,3.941456221610755
2,132,4.690605216098538
3,73,3.6335585289996857
4,372,3.5911571616583444
5,481,1.9099206965118696
6,481,1.1767062732067868
7,73,3.3176760617000296
8,132,3.861851774247004
9,372,1.6579547356878457
10,73,4.156368602452485
10,132,3.311011631886015
10,481,2.16071268086412
10,372,1.0235385203533733
11,73,1.6712503930396698
12,132,2.522708206062757
13,15,4.551909703111282
14,218,2.066558508692424
16,481,3.237143152807649
17,132,2.2943561538192956
17,372,2.0882040765336254
17,73,2.419947098597824
17,481,3.4239371121464846
18,218,1.1428582362275355
19,218,3.531546754974414
20,372,3.170216765066673
21,481,4.948293411486614
22,481,4.295605306471238
22,15,2.9574727637035956
23,73,3.932181318942675
24,73,4.62145419834017
25,481,4.955064960589821
26,218,1.6670037595793294
27,15,4.4169584743261385
27,372,3.6711480668208054
28,481,2.3931228112415277
29,73,3.803889549371495
29,132,2.6985124419808697
30,73,1.6524030559786684
31,218,3.9488394970519387
32,73,2.83738980111202
32,218,3.056947696860825
33,132,1.725358545740629
34,372,4.380818519586246
35,372,2.724730044817029
36,132,3.3209900560278722
37,73,2.527568463594903
37,372,4.6311320123061295
38,372,4.153424808278414
39,218,1.0751578448533516
40,481,2.473823408071111
40,132,1.9153932011248807
40,372,2.2333365623149195
41,132,2.7359096795359816
42,218,4.729869755518326
43,15,4.345209304852292
43,218,4.28748672990268
44,218,4.29332966674967
45,132,2.7917195285550704
46,481,4.3231651910759945
47,218,4.566648394335122
48,372,1.5536214166697782
49,372,1.9537209043646167
50,15,4.169832107954581
51,73,2.8464222425276917
52,481,4.117205168720686
53,73,2.996132438669223
54,372,4.548365816439565
55,218,1.6482849289236157
56,73,1.8513913451121637
57,132,2.4312936687788813
58,73,1.0529943994979931
59,481,3.0573138793980625
60,15,2.1299091699393395
61,481,3.4059130230600934
62,15,2.7820948391195834
62,73,1.0660038172183868
63,132,3.911069307673592
64,15,4.8206285643926305
65,15,1.685653559652537
65,132,4.2188270580702865
65,481,4.720863322598306
65,372,3.098788402883617
65,73,3.648753503369079
66,372,2.3436924835638875
67,372,1.3078505952847757
68,15,1.256065773501055
69,73,1.568025618894593
70,15,1.9243902360154233
71,15,4.946162070990749
72,218,1.9787560118340153
