regulated.gene,regulator.gene,regulator.effect
1,212,2.8259771243128635
2,163,2.9682672292899777
2,75,1.9414403522203383
3,286,1.4892070118097116
4,18,2.0702078344396235
5,102,2.8602946698450236
5,286,3.8414225765707695
5,163,1.9317816399917596
6,163,2.650147009262124
7,102,4.693990366360446
8,286,3.609597612912202
9,75,4.690613074417677
9,286,3.4472514322128323
9,102,1.0473685862391742
10,286,4.91035568849748
10,75,1.531455154039454
10,163,4.888930721957206
10,18,2.4002301013097824
11,102,4.979577168748723
12,102,2.7576599974304385
13,286,2.7559084868662094
14,18,3.3307146026222565
14,286,4.429483553407783
14,163,2.661829061518426
14,102,3.3781519248948335
15,163,1.6053085576328558
16,286,1.2913405295505673
17,163,1.6886049832546521
19,102,3.480882745583444
19,75,1.6939249373718355
20,102,1.948747843898786
20,75,2.594256127744313
21,163,4.8178109682923935
22,212,3.361212378092401
22,163,2.7802519258805543
23,163,3.623882833158195
24,102,2.3922321806570745
25,102,2.137474898377052
25,212,4.200627294748779
26,18,2.7005949446827513
27,102,1.1832209084690648
28,102,3.5675435501576906
29,212,4.625714400482452
30,163,1.4729395336115032
31,286,3.4563548243060938
32,102,4.018561515885433
32,75,2.161050470440974
33,212,1.8873579570830135
34,212,4.590013324841845
34,163,3.421753890370792
34,75,4.772939395497611
34,102,4.226568473057064
35,18,1.291062177341415
36,102,1.4750826359765221
37,286,3.95141695004999
38,286,4.225206367175922
38,102,1.9328784998888755
39,163,3.592522353305953
40,18,3.977088816285752
41,212,3.132462784226565
42,212,2.9546603921098873
43,18,4.616453637269678
44,75,2.1859961221498487
45,75,4.215103109290857
46,163,3.3639147295089202
47,286,3.344943141159086
48,163,1.6048262699683629
49,102,1.7655131623214828
50,102,1.8577363564086338
51,286,1.4700894754974445
52,212,4.930503114608345
53,163,2.985709685483201
53,212,3.2401534782307877
54,102,4.218741084507941
55,163,2.5260325408309825
56,212,2.7240191259781064
57,163,1.5026675531628797
58,212,2.6925822341596213
59,212,1.334949667332547
60,163,1.1065258925179327
61,102,1.2778706246358034
62,102,1.4130101015249343
63,75,3.2531176375397273
63,286,2.8538166239987275
63,163,3.9597147393027106
63,102,4.346299575829582
63,212,3.2234885368452266
64,18,2.307266219560823
65,75,1.010507314447691
65,163,1.620115563327675
66,18,2.793020481725706
67,163,3.2366078136625704
68,75,3.8146383866244866
69,212,2.5992576736723354
69,286,4.37558216685265
69,102,2.6518889812157456
70,163,1.7190482180107498
